BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,1/14/2009,125.5,2,1/1/2009
2,1/31/2008,63.4615,2,1/12/2008
3,11/11/2007,43.2692,2,11/10/2007
4,12/5/2007,8.62,2,12/3/2007
4,5/31/2010,23.72,2,5/30/2010
4,12/15/2011,29.8462,2,12/10/2011
5,1/6/2008,32.6923,2,1/5/2008
6,1/24/2008,32.6923,2,1/11/2008
7,2/8/2009,50.4808,2,1/23/2009
8,12/29/2008,40.8654,2,12/24/2008
9,1/16/2009,40.8654,2,1/14/2009
10,5/3/2009,42.4808,2,4/25/2009
11,12/5/2010,28.8462,2,11/30/2010
12,12/11/2007,25,2,12/1/2007
13,12/23/2010,25,2,12/12/2010
14,12/30/2010,36.0577,2,12/11/2010
15,1/18/2011,32.6923,2,1/8/2011
16,12/20/2007,24,2,12/12/2007
16,7/15/2009,28.75,2,7/11/2009
16,4/30/2012,37.5,2,4/23/2012
17,1/26/2007,13.4615,2,1/23/2007
18,2/7/2011,14.4231,2,1/20/2011
19,2/14/2011,13.4615,2,1/27/2011
20,1/7/2011,13.4615,2,12/19/2010
21,3/2/2009,14.4231,2,2/21/2009
22,12/12/2008,14.4231,2,11/25/2008
23,1/12/2009,14.4231,2,12/29/2008
24,1/18/2009,14.4231,2,1/2/2009
25,2/3/2009,84.1346,2,1/27/2009
26,12/1/2008,24.5192,2,11/15/2008
27,2/27/2008,25,2,2/24/2008
28,6/30/2006,12.45,1,6/28/2006
29,1/23/2009,12.45,1,1/18/2009
30,1/29/2009,12.45,1,1/15/2009
31,1/4/2009,12.45,1,12/20/2008
32,12/29/2008,12.45,1,12/10/2008
33,12/17/2008,12.45,1,12/11/2008
34,2/16/2009,12.45,1,2/11/2009
35,2/8/2009,12.45,1,1/30/2009
36,2/10/2009,12.45,1,2/1/2009
37,3/7/2009,12.45,1,3/6/2009
38,1/16/2010,12.45,1,1/14/2010
39,2/5/2010,12.45,1,2/3/2010
40,12/26/2007,25,2,12/13/2007
41,1/21/2009,12.45,1,1/8/2009
42,12/27/2008,12.45,1,12/10/2008
43,1/2/2009,12.45,1,12/31/2008
44,12/8/2008,12.45,1,12/4/2008
45,2/26/2009,12.45,1,2/9/2009
46,2/8/2009,12.45,1,1/31/2009
47,2/22/2009,25,2,2/11/2009
48,1/6/2008,13.45,1,1/6/2008
49,1/7/2008,13.45,1,12/21/2007
50,2/2/2008,13.45,1,1/17/2008
51,2/20/2008,13.45,1,2/16/2008
52,3/10/2008,13.45,1,3/8/2008
53,3/28/2008,13.45,1,3/21/2008
54,1/1/2010,13.45,1,12/15/2009
55,2/8/2008,25,2,2/6/2008
56,2/5/2009,11,1,2/2/2009
57,2/23/2009,11,1,2/6/2009
58,12/5/2008,11,1,11/29/2008
59,12/24/2008,11,1,12/15/2008
60,1/11/2009,11,1,12/24/2008
61,1/18/2009,11,1,1/2/2009
62,3/17/2008,25,2,3/8/2008
63,1/29/2010,12.45,1,1/12/2010
64,2/23/2010,12.45,1,2/17/2010
65,2/23/2010,12.45,1,2/19/2010
66,12/22/2009,12.45,1,12/13/2009
67,3/5/2009,12.45,1,3/4/2009
68,12/3/2009,12.45,1,12/2/2009
69,2/15/2009,12.45,1,2/5/2009
70,12/15/2008,12.45,1,12/14/2008
71,2/15/2009,25,2,2/8/2009
72,12/1/2008,9.5,1,11/13/2008
73,12/19/2008,9.5,1,12/3/2008
74,1/7/2009,9.5,1,1/6/2009
75,1/26/2009,9.5,1,1/21/2009
76,2/12/2009,9.5,1,2/7/2009
77,3/3/2009,9.5,1,2/19/2009
78,12/15/2008,25,2,12/11/2008
79,1/24/2010,15,1,1/10/2010
80,1/17/2010,15,1,12/30/2009
81,12/29/2009,15,1,12/19/2009
82,3/3/2010,15,1,3/1/2010
83,2/12/2010,15,1,2/5/2010
84,2/5/2010,15,1,1/28/2010
85,12/11/2009,15,1,11/25/2009
86,1/5/2009,15,1,1/4/2009
87,12/22/2008,25,2,12/15/2008
88,12/18/2009,13.45,1,12/1/2009
89,2/1/2010,13.45,1,1/29/2010
90,2/20/2010,13.45,1,2/19/2010
91,1/12/2010,13.45,1,1/8/2010
92,3/10/2010,13.45,1,3/6/2010
93,12/27/2008,25,2,12/26/2008
94,12/12/2008,11,1,11/30/2008
95,12/19/2008,11,1,12/4/2008
96,3/2/2009,11,1,2/19/2009
97,2/10/2009,11,1,1/24/2009
98,2/11/2009,11,1,2/4/2009
99,1/6/2009,11,1,12/24/2008
100,1/12/2009,11,1,1/7/2009
101,1/25/2009,11,1,1/24/2009
102,12/3/2008,25,2,11/17/2008
103,12/6/2009,13.45,1,11/19/2009
104,12/25/2009,13.45,1,12/6/2009
105,12/25/2009,13.45,1,12/16/2009
106,2/27/2010,13.45,1,2/17/2010
107,2/8/2010,13.45,1,1/27/2010
108,12/8/2008,25,2,11/23/2008
109,12/7/2008,11,1,12/1/2008
110,12/14/2008,11,1,12/12/2008
111,12/17/2008,11,1,12/1/2008
112,1/1/2009,11,1,12/14/2008
113,12/25/2008,11,1,12/12/2008
114,1/13/2009,11,1,12/26/2008
115,1/20/2009,11,1,1/7/2009
116,1/31/2009,11,1,1/20/2009
117,2/18/2009,11,1,2/17/2009
118,2/13/2009,11,1,1/28/2009
119,2/25/2009,11,1,2/23/2009
120,3/4/2009,11,1,3/3/2009
121,1/2/2009,19.2308,2,1/2/2009
122,12/7/2008,9,1,12/1/2008
123,12/7/2008,9.5,2,11/29/2008
124,12/26/2008,9,1,12/13/2008
125,1/20/2009,9.5,2,1/7/2009
126,2/26/2009,9,1,2/13/2009
127,1/3/2009,25,2,1/2/2009
128,12/4/2008,15,1,11/22/2008
129,12/22/2008,15,1,12/5/2008
130,2/13/2009,15,1,1/25/2009
131,2/15/2009,15,1,1/31/2009
132,2/22/2009,15,1,2/5/2009
133,1/10/2009,15,1,12/26/2008
134,1/14/2009,25,2,1/11/2009
135,12/4/2008,14,1,11/28/2008
136,12/11/2009,14,1,11/23/2009
137,2/23/2009,14,1,2/16/2009
138,2/4/2009,14,1,1/17/2009
139,1/6/2010,14,1,12/30/2009
140,1/22/2010,14,1,1/13/2010
141,1/24/2010,14,1,1/8/2010
142,3/4/2010,14,1,2/24/2010
143,2/13/2010,14,1,2/9/2010
144,1/17/2009,14,1,1/12/2009
145,1/27/2009,25,2,1/24/2009
146,12/7/2008,9.5,1,11/22/2008
147,12/26/2008,9.5,1,12/22/2008
148,1/14/2009,9.5,1,1/14/2009
149,1/31/2009,9.5,1,1/21/2009
150,2/26/2009,9.5,1,2/16/2009
151,2/19/2009,9.5,1,2/14/2009
152,2/1/2009,25,2,1/26/2009
153,12/16/2008,14,1,12/11/2008
154,12/23/2008,14,1,12/23/2008
155,1/4/2009,14,1,12/22/2008
156,1/11/2009,14,1,1/3/2009
157,2/3/2009,14,1,1/28/2009
158,3/7/2009,14,1,2/20/2009
159,2/16/2009,14,1,2/10/2009
160,1/21/2009,25,2,1/13/2009
161,12/15/2008,10,1,11/28/2008
162,1/3/2009,10,1,12/26/2008
163,2/8/2009,10,1,2/2/2009
164,3/6/2009,10,1,2/27/2009
165,1/22/2009,10,1,1/14/2009
166,2/21/2009,25,2,2/13/2009
167,12/2/2008,6.5,1,11/24/2008
167,12/1/2011,7.25,1,11/25/2011
167,7/14/2013,9.5,1,6/25/2013
168,12/7/2008,9.5,1,11/25/2008
169,12/14/2008,9.5,1,11/26/2008
170,12/21/2008,6.5,1,12/21/2008
170,12/1/2011,7.25,1,11/29/2011
170,7/14/2013,9.5,1,6/27/2013
171,1/2/2009,9.5,1,12/19/2008
172,1/16/2009,6.5,1,12/31/2008
172,12/1/2011,7.25,1,11/20/2011
172,7/14/2013,9.5,1,7/3/2013
173,1/21/2009,9.5,1,1/4/2009
174,1/27/2009,6.75,1,1/12/2009
174,12/1/2011,7.25,1,11/13/2011
174,7/14/2013,9.5,1,7/3/2013
175,2/2/2009,6.5,1,1/20/2009
175,12/1/2011,7.25,1,11/26/2011
175,7/14/2013,9.5,1,7/1/2013
176,2/14/2009,6.5,1,2/12/2009
176,12/1/2011,7.25,1,11/22/2011
176,7/14/2013,9.5,1,7/2/2013
177,2/21/2009,6.5,1,2/17/2009
177,12/1/2011,7.25,1,11/13/2011
177,7/14/2013,9.5,1,7/4/2013
178,3/3/2009,6.5,1,2/12/2009
178,12/1/2011,7,1,11/16/2011
178,7/14/2013,9.5,1,7/4/2013
179,3/5/2009,9.5,1,3/1/2009
180,2/20/2009,25,2,2/16/2009
181,12/9/2008,14,1,11/20/2008
182,12/28/2008,14,1,12/17/2008
183,1/22/2009,14,1,1/9/2009
184,2/9/2009,14,1,2/2/2009
185,2/28/2009,14,1,2/27/2009
186,2/8/2009,25,2,2/5/2009
187,12/9/2008,10,1,12/9/2008
188,12/27/2008,10,1,12/13/2008
189,1/15/2009,10,1,12/27/2008
190,2/2/2009,10,1,1/15/2009
191,2/26/2009,10,1,2/9/2009
192,3/5/2009,25,2,2/24/2009
193,12/6/2008,15,1,12/1/2008
194,12/12/2008,15,1,12/1/2008
195,12/17/2008,15,1,12/10/2008
196,12/24/2008,15,1,12/14/2008
197,12/31/2008,15,1,12/25/2008
198,1/4/2009,15,1,12/19/2008
199,1/12/2009,15,1,1/2/2009
200,1/17/2009,15,1,1/10/2009
201,1/29/2009,15,1,1/24/2009
202,2/5/2009,15,1,1/17/2009
203,2/24/2009,15,1,2/22/2009
204,3/8/2009,15,1,2/23/2009
205,2/26/2009,25,2,2/14/2009
206,12/2/2008,10,1,11/22/2008
207,12/2/2008,10,1,11/24/2008
208,1/8/2009,10,1,12/22/2008
209,1/27/2009,10,1,1/13/2009
210,2/20/2009,10,1,2/14/2009
211,2/28/2009,28.8462,2,2/11/2009
212,12/9/2008,21.6346,2,12/9/2008
213,2/23/2010,10.5769,2,2/23/2010
214,2/2/2009,10.5769,2,1/31/2009
215,1/15/2009,10.5769,2,1/12/2009
216,12/28/2008,10.5769,2,12/14/2008
217,1/4/2009,17.7885,2,1/2/2009
218,12/16/2008,16.8269,2,12/4/2008
219,1/22/2009,10.25,2,1/18/2009
220,2/9/2009,10.25,2,2/8/2009
221,3/6/2009,16.8269,2,2/28/2009
222,12/12/2008,23.5577,2,12/8/2008
223,1/26/2009,16,2,1/19/2009
224,1/8/2008,8.62,2,1/2/2008
224,8/31/2011,13.5,2,8/15/2011
224,1/1/2012,16,2,12/16/2011
225,2/13/2009,16,2,1/31/2009
226,3/3/2009,16,2,3/3/2009
227,12/2/2009,24.0385,2,11/20/2009
228,12/14/2008,20.4327,2,12/5/2008
229,2/16/2010,9.25,1,2/11/2010
230,3/5/2010,9.25,1,2/24/2010
231,3/7/2010,9.25,1,2/21/2010
232,1/27/2010,9.25,1,1/26/2010
233,12/21/2009,9.75,2,12/18/2009
234,1/31/2009,39.06,2,1/13/2009
234,11/14/2011,48.5577,2,10/29/2011
234,1/29/2012,60.0962,2,1/20/2012
235,12/6/2008,27.1394,2,12/5/2008
236,2/25/2009,13.9423,2,2/23/2009
237,2/6/2009,13.9423,2,2/5/2009
238,1/1/2009,18.2692,2,12/16/2008
239,12/25/2008,16.5865,2,12/23/2008
240,12/13/2008,18.2692,2,12/2/2008
241,1/30/2009,34.7356,2,1/16/2009
242,12/18/2008,19,2,12/6/2008
243,1/6/2009,19,2,1/6/2009
244,1/24/2009,19,2,1/17/2009
245,2/18/2009,26.4423,2,2/6/2009
246,2/11/2009,19,2,1/24/2009
247,3/1/2009,19,2,2/12/2009
248,3/8/2009,26.4423,2,3/6/2009
249,12/25/2008,43.2692,2,12/19/2008
250,2/21/2011,9.86,2,2/16/2011
250,7/30/2011,22.5,2,7/14/2011
250,7/14/2012,30,2,7/1/2012
251,2/10/2009,18.2692,2,1/22/2009
252,2/28/2009,18.2692,2,2/12/2009
253,12/17/2009,18.2692,2,11/28/2009
254,1/4/2010,18.2692,2,12/17/2009
255,1/11/2010,18.2692,2,12/29/2009
256,1/23/2010,18.2692,2,1/15/2010
257,1/27/2010,18.2692,2,1/9/2010
258,1/31/2010,18.2692,2,1/20/2010
259,3/9/2010,18.2692,2,2/26/2010
260,12/6/2010,12.75,2,11/18/2010
261,12/25/2010,12.75,2,12/16/2010
262,1/12/2009,13.4615,2,1/2/2009
263,12/11/2008,50.4808,2,11/27/2008
264,2/4/2009,39.6635,2,1/20/2009
265,12/4/2008,32.4519,2,11/25/2008
266,2/23/2009,32.4519,2,2/5/2009
267,2/16/2009,27.4038,2,1/31/2009
268,2/3/2009,27.4038,2,1/17/2009
269,1/11/2009,27.4038,2,12/27/2008
270,1/17/2009,38.4615,2,1/8/2009
271,1/22/2009,38.4615,2,1/16/2009
272,12/23/2008,27.4038,2,12/13/2008
273,2/15/2011,72.1154,2,2/15/2011
274,1/4/2011,48.101,2,12/28/2010
275,5/31/2011,23.0769,2,5/17/2011
276,5/31/2011,23.0769,2,5/24/2011
277,5/31/2011,23.0769,2,5/18/2011
278,5/31/2011,23.0769,2,5/15/2011
279,5/31/2011,23.0769,2,5/28/2011
280,5/31/2011,23.0769,2,5/20/2011
281,5/31/2011,23.0769,2,5/22/2011
282,5/31/2011,23.0769,2,5/29/2011
283,5/31/2011,23.0769,2,5/26/2011
284,9/30/2012,23.0769,2,9/14/2012
285,3/14/2013,48.101,2,2/28/2013
286,5/30/2013,23.0769,2,5/14/2013
287,4/16/2012,48.101,2,4/3/2012
288,5/30/2013,23.0769,2,5/25/2013
289,5/30/2012,23.0769,2,5/28/2012
290,5/30/2012,23.0769,2,5/14/2012
